训练轮次,平均奖励,电压越限次数,PSH约束违反,可再生能源消纳率,PSH保持次数,PSH发电次数,PSH抽水次数,PSH停止次数,上水库SOC,下水库SOC,电压最小值,电压最大值,总损失,Actor损失,Critic损失,评估奖励
134,0.1472,0,0,98.8,0,30,66,,0.103,0.897,0.9569,1.0234,0.227972,0.007788,0.5374,
135,0.2594,0,0,100.0,1,31,64,,0.093,0.907,0.951,1.0,1.565569,-0.012629,3.25264,
136,0.2466,0,0,100.0,0,27,69,,0.074,0.926,0.9565,1.0,0.896189,0.032526,1.822405,
137,0.1612,94,0,100.0,1,15,80,,0.078,0.922,0.9417,1.0,2.10702,0.012307,4.283331,
138,0.1891,118,0,100.0,0,18,78,,0.076,0.924,0.9408,1.0,0.03801,-0.011724,0.192688,
139,0.0974,0,0,99.8,0,14,82,,0.076,0.924,0.9572,1.0148,0.562768,0.019882,1.179578,
140,0.2308,6,0,100.0,2,26,68,,0.077,0.923,0.9485,1.0,2.397206,0.003217,4.884049,0.1872
141,0.1658,0,0,100.0,0,29,67,,0.099,0.901,0.9524,1.0,0.110199,0.017845,0.27951,
142,0.1791,0,0,95.5,0,19,77,,0.099,0.901,0.9624,1.0218,0.226322,0.014845,0.515487,
143,0.2807,0,0,100.0,0,14,82,,0.099,0.901,0.9536,1.0,2.332037,-0.004149,4.764037,
144,0.1564,0,0,100.0,0,14,82,,0.099,0.901,0.9631,1.0098,0.742835,0.002336,1.573124,
145,0.1674,67,0,100.0,1,13,82,,0.099,0.901,0.9419,1.0,1.72131,0.000867,3.533644,
146,0.202,0,0,100.0,0,12,84,,0.083,0.917,0.958,1.0119,1.134628,-0.031523,2.42542,
147,0.2204,121,0,100.0,0,16,80,,0.073,0.927,0.9405,1.0,0.664194,0.006113,1.40995,
148,0.1899,6,0,100.0,1,10,85,,0.077,0.923,0.9487,1.0,1.178229,-0.014283,2.478019,
149,0.1736,0,0,100.0,1,13,82,,0.083,0.917,0.9571,1.0055,1.036499,0.004483,2.158107,
150,0.1998,0,0,99.2,0,16,80,,0.091,0.909,0.9568,1.0123,0.4823,-0.010651,1.08125,0.2741
151,0.1989,65,0,100.0,1,20,75,,0.09,0.91,0.9425,1.0,0.938031,-0.037734,2.047096,
152,0.1929,161,0,100.0,0,26,70,,0.086,0.914,0.936,1.0,0.43366,-0.003795,0.972517,
153,0.2001,0,0,86.7,1,48,47,,0.089,0.911,0.9628,1.0262,0.341658,-0.010281,0.802114,
154,0.1866,0,0,99.3,0,29,67,,0.087,0.913,0.9608,1.0154,0.386552,-0.026021,0.922033,
155,0.2307,0,0,95.2,2,27,67,,0.091,0.909,0.9659,1.0302,0.383269,0.001183,0.86157,
156,0.1745,0,0,97.2,0,42,54,,0.091,0.909,0.9603,1.0232,0.36616,-0.042428,0.916011,
157,0.1581,0,0,95.9,2,43,51,,0.078,0.922,0.9663,1.0292,1.072914,0.048321,2.148181,
158,0.2542,0,0,97.6,0,49,47,,0.084,0.916,0.9551,1.0142,0.803678,-0.005187,1.716697,
159,0.2878,0,0,97.6,1,44,51,,0.082,0.918,0.9633,1.0226,1.264922,-0.012976,2.654153,
160,0.2442,0,0,97.3,1,35,60,,0.087,0.913,0.9589,1.0229,0.828509,-0.008857,1.772352,0.2964
161,0.215,0,0,93.2,0,30,66,,0.093,0.907,0.958,1.0158,0.785985,-0.042453,1.754393,
162,0.1608,0,0,96.1,2,27,67,,0.079,0.921,0.9586,1.0185,0.616147,0.003346,1.321985,
163,0.2354,77,0,100.0,0,21,75,,0.075,0.925,0.9407,1.0,0.457261,0.030974,0.948639,
164,0.2683,0,0,97.0,1,9,86,,0.083,0.917,0.958,1.0139,0.855833,0.009698,1.786013,
165,0.2733,0,0,100.0,0,14,82,,0.084,0.916,0.9527,1.0,0.374692,0.001213,0.839301,
166,0.2113,82,0,100.0,0,6,90,,0.084,0.916,0.9416,1.0,0.588748,-0.012596,1.29356,
167,0.191,0,0,100.0,0,5,91,,0.084,0.916,0.9555,1.011,0.276222,-0.01055,0.662697,
168,0.1572,0,0,100.0,0,2,94,,0.084,0.916,0.9549,1.0101,0.118823,0.003693,0.318518,
169,0.2567,0,0,92.3,1,4,91,,0.09,0.91,0.9585,1.0175,1.783041,-0.025962,3.7059,
170,0.1395,0,0,97.6,1,1,94,,0.109,0.891,0.965,1.0222,1.230121,-0.007388,2.56291,0.2746
171,0.2821,74,0,100.0,1,5,90,,0.102,0.898,0.9416,1.0,2.250839,-0.018417,4.626514,
172,0.1141,106,0,100.0,1,4,91,,0.082,0.918,0.9417,1.0,1.444323,0.036218,2.904451,
173,0.1116,9,0,100.0,1,2,93,,0.113,0.887,0.9489,1.0,0.720551,-0.041034,1.611698,
174,0.1228,114,0,100.0,2,4,90,,0.134,0.866,0.9406,1.0,2.693756,-0.012246,5.500324,
175,0.3459,0,0,100.0,0,1,95,,0.102,0.898,0.9543,1.0,3.717005,0.00792,7.506418,
176,0.2298,36,0,100.0,0,2,94,,0.1,0.9,0.9454,1.0,0.773768,-0.007198,1.650364,
177,0.1901,96,0,100.0,0,4,92,,0.1,0.9,0.9413,1.0,0.103113,0.025749,0.243621,
178,0.2363,0,0,100.0,0,9,87,,0.1,0.9,0.9522,1.0043,0.329973,-0.008826,0.767629,
179,0.21,166,0,100.0,0,6,90,,0.1,0.9,0.9372,1.0,0.319063,0.008896,0.710299,
180,0.1916,79,0,100.0,1,4,91,,0.102,0.898,0.94,1.0,1.300892,-0.025293,2.742207,0.2262
181,0.2822,64,0,100.0,2,7,87,,0.1,0.9,0.9412,1.0,5.11449,-0.02106,10.361855,
182,0.3434,149,0,100.0,0,9,87,,0.083,0.917,0.937,1.0,1.957457,-0.011629,4.029621,
183,0.2179,0,0,100.0,0,12,84,,0.081,0.919,0.9601,1.0005,1.200376,0.00097,2.490082,
184,0.1456,0,0,86.4,0,9,87,,0.081,0.919,0.9629,1.0268,2.040449,0.007479,4.156949,
185,0.1399,0,0,95.5,0,9,87,,0.081,0.919,0.9627,1.0222,0.267529,0.010802,0.604989,
186,0.1508,101,0,100.0,2,5,89,,0.101,0.899,0.94,1.0,2.790826,-0.01351,5.701501,
187,0.2673,0,0,99.7,0,13,83,,0.064,0.936,0.9513,1.012,1.833116,0.00887,3.743721,
188,0.2183,0,0,83.6,0,28,68,,0.064,0.936,0.9661,1.0296,0.256439,0.002742,0.603078,
189,0.2107,0,0,91.4,0,21,75,,0.064,0.936,0.9659,1.0344,0.457026,-0.042309,1.092715,
190,0.1547,67,0,100.0,0,14,82,,0.064,0.936,0.9411,1.0,0.71285,-0.00626,1.531818,0.201
191,0.2919,2,0,100.0,1,15,80,,0.075,0.925,0.9497,1.0,8.236006,0.025501,16.516366,
192,0.2929,116,0,100.0,0,27,69,,0.095,0.905,0.9395,1.0,1.115644,-0.037089,2.40176,
193,0.2547,0,0,100.0,0,21,75,,0.095,0.905,0.951,1.0,0.653857,0.004077,1.395212,
194,0.2863,90,0,100.0,0,19,77,,0.095,0.905,0.9399,1.0,0.66584,0.012992,1.398889,
195,0.259,0,0,100.0,0,8,88,,0.095,0.905,0.951,1.0,1.402288,0.008476,2.88005,
196,0.323,0,0,91.6,0,14,82,,0.095,0.905,0.9594,1.0214,2.242804,-0.027303,4.632316,
197,0.1723,105,0,100.0,0,10,86,,0.095,0.905,0.9416,1.0,1.708479,-0.004072,3.516742,
198,0.2056,72,0,100.0,1,9,86,,0.106,0.894,0.9401,1.0,1.439137,0.023552,2.922756,
199,0.1876,104,0,100.0,0,10,86,,0.096,0.904,0.9423,1.0,0.175439,-0.011004,0.46391,
200,0.2199,77,0,100.0,1,8,87,,0.102,0.898,0.9421,1.0,0.505793,0.012038,1.077142,0.2253
